border,n,median,mean,win_rate,sortino,,,,n,win_rate,median,win_rate2,tot_win:,median2,tot_med,,,n,median,median2
0,0.2,1.463540884,1.326244038,62.92352372,0.245552452,,,,0.2,62.92352372,1.463540884,78.02516941,140.9486931,4.525441138,5.988982022,,,0.2,1.463540884,4.525441138
0,0.3,1.076368246,0.593013265,59.34172314,0.097954711,,,,0.3,59.34172314,1.076368246,80.83252662,140.1742498,5.414752068,6.491120314,,,0.3,1.076368246,5.414752068
0,0.4,0.710746533,-0.132537337,55.66311713,-0.019691832,,,,0.4,55.66311713,0.710746533,85.18877057,140.8518877,6.253725361,6.964471894,,,0.4,0.710746533,6.253725361
0,0.5,0.236530252,-0.850513562,52.66214908,-0.114563082,,,,0.5,52.66214908,0.236530252,87.41529526,140.0774443,7.279054678,7.51558493,,,0.5,0.236530252,7.279054678
0,0.6,-0.288550664,-1.561019651,47.43465634,-0.192038111,,,,0.6,47.43465634,-0.288550664,89.64181994,137.0764763,8.168206112,7.879655448,,,0.6,-0.288550664,8.168206112
0,0.7,-0.789887604,-2.264158318,44.14327202,-0.256063201,,,,0.7,44.14327202,-0.789887604,90.803485,134.946757,9.188060337,8.398172733,,,0.7,-0.789887604,9.188060337
0,0.8,-1.247143709,-2.960030763,40.94869313,-0.309539706,,,,0.8,40.94869313,-1.247143709,91.67473379,132.6234269,10.08750855,8.840364843,,,0.8,-1.247143709,10.08750855
0,0.9,-1.661406533,-3.6487367,37.75411423,-0.35466443,,,,0.9,37.75411423,-1.661406533,93.22362052,130.9777348,11.13640702,9.475000487,,,0.9,-1.661406533,11.13640702
0,1,-2.180754275,-4.330374374,34.94675702,-0.39312455,,,,1,34.94675702,-2.180754275,93.80445305,128.7512101,12.00891397,9.828159698,,,1,-2.180754275,12.00891397
0,1.1,-2.69822001,-5.005040579,32.23620523,-0.426230312,,,,1.1,32.23620523,-2.69822001,94.482091,126.7182962,12.91950878,10.22128877,,,1.1,-2.69822001,12.91950878
0,1.2,-3.106688105,-5.672830681,30.59051307,-0.454988833,,,,1.2,30.59051307,-3.106688105,95.15972894,125.750242,13.88594087,10.77925276,,,1.2,-3.106688105,13.88594087
0,1.3,-3.527145366,-6.333838635,28.84801549,-0.480192871,,,,1.3,28.84801549,-3.527145366,96.321394,125.1694095,14.81628997,11.28914461,,,1.3,-3.527145366,14.81628997
0,1.4,-3.846100049,-6.988157006,27.49273959,-0.502457315,,,,1.4,27.49273959,-3.846100049,96.61181026,124.1045499,15.89904638,12.05294633,,,1.4,-3.846100049,15.89904638
0,1.5,-4.478276226,-7.635876988,25.26621491,-0.522271143,,,,1.5,25.26621491,-4.478276226,96.90222652,122.1684414,16.93698742,12.45871119,,,1.5,-4.478276226,16.93698742
0,1.6,-4.993738219,-8.277088422,23.42691191,-0.540021667,,,,1.6,23.42691191,-4.993738219,97.19264279,120.6195547,17.82935545,12.83561723,,,1.6,-4.993738219,17.82935545
0,1.7,-5.574890756,-8.911879815,21.78121975,-0.556022789,,,,1.7,21.78121975,-5.574890756,97.48305905,119.2642788,18.76144732,13.18655657,,,1.7,-5.574890756,18.76144732
0,1.8,-6.190493599,-9.540338357,21.39399806,-0.570528973,,,,1.8,21.39399806,-6.190493599,97.57986447,118.9738625,19.71116101,13.52066741,,,1.8,-6.190493599,19.71116101
0,1.9,-6.697279611,-10.16254995,20.6195547,-0.583752801,,,,1.9,20.6195547,-6.697279611,97.87028074,118.4898354,20.72512811,14.0278485,,,1.9,-6.697279611,20.72512811
0,2,-7.213241783,-10.77859919,19.16747338,-0.59586308,,,,2,19.16747338,-7.213241783,98.160697,117.3281704,22.00012243,14.78688065,,,2,-7.213241783,22.00012243
0,2.1,-7.701806093,-11.38856946,17.52178122,-0.607000657,,,,2.1,17.52178122,-7.701806093,98.25750242,115.7792836,23.09578572,15.39397963,,,2.1,-7.701806093,23.09578572
0,2.2,-8.253427293,-11.99254285,15.77928364,-0.617281489,,,,2.2,15.77928364,-8.253427293,98.45111326,114.2303969,24.06879738,15.81537008,,,2.2,-8.253427293,24.06879738
0,2.3,-8.802813429,-12.59060025,14.71442401,-0.626809558,,,,2.3,14.71442401,-8.802813429,98.54791868,113.2623427,25.13208254,16.32926911,,,2.3,-8.802813429,25.13208254
0,2.4,-9.284046836,-13.18282134,14.42400774,-0.635674089,,,,2.4,14.42400774,-9.284046836,98.83833495,113.2623427,26.28894696,17.00490013,,,2.4,-9.284046836,26.28894696
0,2.5,-9.814258482,-13.7692846,14.03678606,-0.643949669,,,,2.5,14.03678606,-9.814258482,98.83833495,112.875121,27.41704463,17.60278615,,,2.5,-9.814258482,27.41704463
0,2.6,-10.40050032,-14.35006735,12.87512101,-0.65169995,,,,2.6,12.87512101,-10.40050032,98.83833495,111.713456,28.5716941,18.17119378,,,2.6,-10.40050032,28.5716941
0,2.7,-10.72512221,-14.92524574,11.51984511,-0.658980699,,,,2.7,11.51984511,-10.72512221,98.83833495,110.3581801,29.66699036,18.94186815,,,2.7,-10.72512221,29.66699036
0,2.8,-11.44538671,-15.49489478,10.64859632,-0.665839361,,,,2.8,10.64859632,-11.44538671,98.83833495,109.4869313,30.74985733,19.30447062,,,2.8,-11.44538671,30.74985733
0,2.9,-11.87388505,-16.05908835,10.35818006,-0.672316871,,,,2.9,10.35818006,-11.87388505,99.12875121,109.4869313,31.72144608,19.84756103,,,2.9,-11.87388505,31.72144608
0,3,-12.46756567,-16.61789924,9.874152953,-0.678450416,,,,3,9.874152953,-12.46756567,99.12875121,109.0029042,32.79381894,20.32625327,,,3,-12.46756567,32.79381894
0,3.1,-12.93190691,-17.17139913,9.486931268,-0.684272386,,,,3.1,9.486931268,-12.93190691,99.32236205,108.8092933,33.87325745,20.94135054,,,3.1,-12.93190691,33.87325745
0,3.2,-13.35178014,-17.71965863,9.293320426,-0.689811157,,,,3.2,9.293320426,-13.35178014,99.41916747,108.7124879,34.86538746,21.51360732,,,3.2,-13.35178014,34.86538746
0,3.3,-13.9157995,-18.26274729,7.550822846,-0.695091467,,,,3.3,7.550822846,-13.9157995,99.41916747,106.9699903,35.94272446,22.02692496,,,3.3,-13.9157995,35.94272446
0,3.4,-14.3391656,-18.80073361,7.357212004,-0.700134446,,,,3.4,7.357212004,-14.3391656,99.61277832,106.9699903,37.08333085,22.74416525,,,3.4,-14.3391656,37.08333085
0,3.5,-14.80267487,-19.33368507,7.260406583,-0.70495938,,,,3.5,7.260406583,-14.80267487,99.70958374,106.9699903,38.14782638,23.34515151,,,3.5,-14.80267487,38.14782638
0,3.6,-15.34141602,-19.86166811,6.969990319,-0.709583665,,,,3.6,6.969990319,-15.34141602,99.70958374,106.6795741,39.13162991,23.79021389,,,3.6,-15.34141602,39.13162991
0,3.7,-15.85824225,-20.3847482,6.873184898,-0.714022598,,,,3.7,6.873184898,-15.85824225,99.80638916,106.6795741,40.32836513,24.47012288,,,3.7,-15.85824225,40.32836513
0,3.8,-16.32373043,-20.9029898,6.485963214,-0.718290013,,,,3.8,6.485963214,-16.32373043,99.90319458,106.3891578,41.38438701,25.06065658,,,3.8,-16.32373043,41.38438701
0,3.9,-16.73995953,-21.41645641,6.195546951,-0.72239829,,,,3.9,6.195546951,-16.73995953,99.90319458,106.0987415,42.48278567,25.74282614,,,3.9,-16.73995953,42.48278567
0,4,-17.15471342,-21.92521058,6.195546951,-0.726358493,,,,4,6.195546951,-17.15471342,99.90319458,106.0987415,43.6177161,26.46300268,,,4,-17.15471342,43.6177161
0,4.1,-17.65696416,-22.4293139,6.195546951,-0.730180616,,,,4.1,6.195546951,-17.65696416,100,106.195547,44.67282991,27.01586575,,,4.1,-17.65696416,44.67282991
0,4.2,-18.14579279,-22.92882705,6.195546951,-0.733873722,,,,4.2,6.195546951,-18.14579279,100,106.195547,45.73352003,27.58772724,,,4.2,-18.14579279,45.73352003
0,4.3,-18.64276181,-23.42380978,6.09874153,-0.737445982,,,,4.3,6.09874153,-18.64276181,100,106.0987415,46.79980455,28.15704274,,,4.3,-18.64276181,46.79980455
0,4.4,-19.13252111,-23.91432095,6.001936108,-0.740904774,,,,4.4,6.001936108,-19.13252111,100,106.0019361,48.05522195,28.92270084,,,4.4,-19.13252111,48.05522195
0,4.5,-19.56782047,-24.40041852,6.001936108,-0.744256865,,,,4.5,6.001936108,-19.56782047,100,106.0019361,49.29595847,29.728138,,,4.5,-19.56782047,49.29595847
0,4.6,-20.00207221,-24.88215959,6.001936108,-0.74750843,,,,4.6,6.001936108,-20.00207221,100,106.0019361,50.53438487,30.53231266,,,4.6,-20.00207221,50.53438487
0,4.7,-20.4843095,-25.35960038,5.905130687,-0.750665108,,,,4.7,5.905130687,-20.4843095,100,105.9051307,51.75916062,31.27485112,,,4.7,-20.4843095,51.75916062
0,4.8,-21.03328802,-25.8327963,5.614714424,-0.753732033,,,,4.8,5.614714424,-21.03328802,100,105.6147144,53.07716105,32.04387303,,,4.8,-21.03328802,53.07716105
0,4.9,-21.54205494,-26.30180188,5.421103582,-0.756713867,,,,4.9,5.421103582,-21.54205494,100,105.4211036,54.10909435,32.56703941,,,4.9,-21.54205494,54.10909435
0,5,-21.99379633,-26.76667085,5.22749274,-0.759614923,,,,5,5.22749274,-21.99379633,100,105.2274927,55.47144274,33.47764641,,,5,-21.99379633,55.47144274
0,5.1,-22.47845523,-27.22745614,5.033881897,-0.762439177,,,,5.1,5.033881897,-22.47845523,100,105.0338819,56.55301243,34.0745572,,,5.1,-22.47845523,56.55301243
0,5.2,-22.96022383,-27.68420986,5.033881897,-0.76519035,,,,5.2,5.033881897,-22.96022383,100,105.0338819,57.81865869,34.85843486,,,5.2,-22.96022383,57.81865869
